"id";"loan_amnt";"funded_amnt";"term";"int_rate";"installment";"grade";"emp_title";"emp_length";"home_ownership";"annual_inc";"verification_status";"issue_d";"loan_status";"desc";"title";"zip_code";"addr_state";"dti";"delinq_2yrs";"earliest_cr_line";"fico_range_low";"fico_range_high";"inq_last_6mths";"mths_since_last_delinq";"mths_since_last_record";"open_acc";"pub_rec";"revol_bal";"revol_util";"total_acc";"initial_list_status";"out_prncp";"out_prncp_inv";"total_pymnt";"total_pymnt_inv";"total_rec_prncp";"total_rec_int";"total_rec_late_fee";"recoveries";"collection_recovery_fee";"last_pymnt_d";"last_pymnt_amnt";"next_pymnt_d";"last_credit_pull_d";"last_fico_range_high";"last_fico_range_low";"collections_12_mths_ex_med";"mths_since_last_major_derog";"policy_code";"application_type";"annual_inc_joint";"dti_joint";"verification_status_joint";"acc_now_delinq";"tot_coll_amt";"tot_cur_bal";"open_acc_6m";"open_act_il";"open_il_12m";"open_il_24m";"mths_since_rcnt_il";"total_bal_il"
1;5000;5000;" 36 months";20.39;186.82;"D";"General Manager";"8 years";"RENT";50000;"Verified";"18-Mar";"Current";"";"Other";"740xx";"OK";21.8;1;"9-Jan";665;669;0;9;"";5;0;116;23.2;18;"w";3780.31;3780.31;2043.69;2043.69;1219.69;824.0;0;0;0;"19-Mar";186.82;"19-Apr";"19-Mar";609;605;0;"9";1;"Individual";"";"";"";0;0;19344;0;2;0;1;16;14118
2;15000;15000;" 36 months";9.92;483.45;"B";"IT Director ";"2 years";"OWN";196000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"337xx";"FL";18.29;0;"Jul-98";700;704;0;65;"";19;0;24243;46.3;53;"w";10878.5;10878.5;5301.42;5301.42;4121.5;1179.92;0;0;0;"19-Feb";483.45;"19-Apr";"19-Mar";694;690;0;"";1;"Individual";"";"";"";0;0;534954;4;3;2;2;6;113470
3;11200;11200;" 60 months";30.79;367.82;"G";"Client services ";"< 1 year";"RENT";44000;"Not Verified";"18-Mar";"Current";"";"Medical expenses";"030xx";"NH";43.97;1;"7-Jul";665;669;2;6;"";8;0;1526;24.6;14;"w";10193.73;10193.73;4007.7;4007.7;1006.27;3001.43;0;0;0;"19-Feb";367.82;"19-Apr";"19-Mar";629;625;0;"70";1;"Joint App";"81000";"31.94";"Not Verified";0;0;67173;1;4;1;4;8;65647
4;25000;25000;" 60 months";21.85;688.35;"D";"Asphalt Supervisor";"10+ years";"MORTGAGE";65000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"361xx";"AL";12.89;1;"Mar-95";665;669;1;22;"";7;0;8657;98.4;16;"w";22188.73;22188.73;7511.16;7511.16;2811.27;4699.89;0;0;0;"19-Feb";688.35;"19-Apr";"19-Mar";669;665;0;"23";1;"Individual";"";"";"";0;0;74795;0;2;0;2;16;8382
5;3000;3000;" 36 months";7.34;93.1;"A";"Scale Technician";"9 years";"RENT";52000;"Source Verified";"18-Mar";"Fully Paid";"";"Major purchase";"988xx";"WA";0.58;0;"Jan-98";760;764;0;26;"";7;0;141;0.5;30;"w";0.0;0.0;3011.577285;3011.58;3000.0;11.58;0;0;0;"18-May";614.03;"";"18-Nov";764;760;0;"";1;"Individual";"";"";"";0;0;150592;0;0;1;2;7;0
6;17000;17000;" 60 months";20.39;454.1;"D";"Independent Business Owner";"10+ years";"RENT";52000;"Source Verified";"18-Mar";"Current";"";"Debt consolidation";"339xx";"FL";15.65;0;"Apr-99";670;674;0;77;"";9;0;15363;55.9;14;"w";15019.77;15019.77;4956.59;4956.59;1980.23;2976.36;0;0;0;"19-Feb";454.1;"19-Apr";"19-Mar";634;630;0;"77";1;"Individual";"";"";"";0;11213;18039;0;1;0;1;19;2676
7;20000;20000;" 36 months";10.41;649.21;"B";"";"";"MORTGAGE";19000;"Verified";"18-Mar";"Current";"";"Debt consolidation";"326xx";"FL";45.17;0;"Oct-87";795;799;1;0;"";6;0;17144;33.4;9;"w";14011.08;14011.08;7726.91;7726.91;5988.92;1737.99;0;0;0;"19-Mar";649.21;"19-Apr";"19-Mar";799;795;0;"";1;"Joint App";"50000";"20.86";"Verified";0;0;17709;1;1;0;0;59;565
8;19200;19200;" 60 months";17.47;482.04;"D";"Warehouse ";"5 years";"RENT";36500;"Verified";"18-Mar";"Current";"";"Other";"958xx";"CA";19.76;3;"Aug-95";675;679;0;15;"";14;0;13295;62.1;18;"w";16802.82;16802.82;5283.01;5283.01;2397.18;2885.83;0;0;0;"19-Mar";482.04;"19-Apr";"19-Mar";559;555;3;"15";1;"Joint App";"53000";"19.15";"Source Verified";0;0;13295;0;0;0;0;0;0
9;6500;6500;" 36 months";6.07;197.95;"A";"dental assistant";"10+ years";"MORTGAGE";50000;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"970xx";"OR";8.66;0;"3-Sep";705;709;0;58;"";7;0;7871;20.2;16;"w";4463.33;4463.33;2362.17;2362.17;2036.67;325.5;0;0;0;"19-Mar";197.95;"19-Apr";"19-Mar";714;710;0;"58";1;"Individual";"";"";"";0;370;243513;0;1;0;0;32;794
10;10000;10000;" 60 months";12.61;225.54;"C";"Supervisor ";"4 years";"MORTGAGE";80000;"Source Verified";"18-Mar";"Current";"";"Home improvement";"306xx";"GA";7.59;0;"6-Oct";660;664;1;27;"";17;0;10710;37.7;23;"w";8603.12;8603.12;2466.93;2466.93;1396.88;1070.05;0;0;0;"19-Mar";225.54;"19-Apr";"19-Mar";634;630;0;"27";1;"Individual";"";"";"";0;0;299196;1;0;0;1;18;0
11;6000;6000;" 36 months";10.41;194.77;"B";"Dental Hygienist";"1 year";"RENT";46000;"Not Verified";"18-Mar";"Current";"";"Credit card refinancing";"156xx";"PA";8.92;0;"10-May";705;709;0;0;"";11;0;5566;29.6;12;"w";4360.18;4360.18;2135.53;2135.53;1639.82;495.71;0;0;0;"19-Feb";194.77;"19-Apr";"19-Mar";714;710;0;"";1;"Individual";"";"";"";0;0;17000;0;3;0;0;42;11434
12;12000;12000;" 60 months";13.58;276.62;"C";"Accountant";"10+ years";"MORTGAGE";59940;"Not Verified";"18-Mar";"Current";"";"Debt consolidation";"544xx";"WI";12.33;1;"Aug-94";680;684;0;16;"102";7;1;9040;72.3;18;"w";10360.29;10360.29;3024.71;3024.71;1639.71;1385.0;0;0;0;"19-Feb";276.62;"19-Apr";"19-Mar";739;735;0;"";1;"Individual";"";"";"";0;0;27907;0;2;0;0;30;18867
